,data_loss,pde_residual,r2
run_data_outer_train=learnable_val=learnable,34.0,48.0,36.0
run_pinns,37.0,22.0,
run_data_outer_train=learnable_val=frozen_param_loss,28.0,35.0,32.0
run_data_outer_train=learnable_val=frozen_param_loss_init_frames,3.0,15.0,26.0
run_data_outer_train=learnable_val=learnable_init_frames,21.0,31.0,38.0
run_data_outer_train=learnable_val=learnable_residual_loss,42.0,64.0,51.0
run_data_outer_train=learnable_val=frozen,23.0,43.0,30.0
run_true_conditioning_single_scale_shift,50.0,67.0,
run_data_outer_train=frozen_val=frozen,22.0,38.0,25.0
run_data_outer_train=learnable_val=frozen_residual_loss,27.0,45.0,27.0
run_true_conditioning,44.0,35.0,
run_data_outer_train=learnable_val=frozen_init_frames,23.0,30.0,12.0
run_data_outer_train=learnable_val=learnable_param_loss,30.0,44.0,10.0
run_pino_fixed,39.0,19.0,
run_data_outer_train=learnable_val=frozen_residual_loss_init_frames,6.0,22.0,12.0
run_data_outer_train=frozen_val=frozen_init_frames,10.0,16.0,12.0
run_data_outer_train=learnable_val=learnable_param_loss_init_frames,7.0,27.0,12.0
embedding,,,43.0
run_data_outer_train=learnable_val=learnable_residual_loss_init_frames,13.0,11.0,54.0
